id	label	name.cn	name.en	description.cn	description.en	baseScore	matcherKey	params
rule-0001	binaless	缺一少十	Binaless	棋盘中没有0和1。	The grid contains neither 0 nor 1.	100	digit-constraints	"{""forbiddenDigits"":[0,1]}"
rule-0002	collection	收藏馆	The Collection	棋盘中包含0–9所有数字。	The grid contains every digit from 0 to 9.	100	digit-constraints	"{""requiredDigits"":[0,1,2,3,4,5,6,7,8,9]}"
rule-0003	null-space	零空间	Null Space	棋盘对应矩阵的行列式为0。	The determinant of the grid matrix is zero.	100	determinant-zero	{}
rule-0004	snake	贪吃蛇	Snake	存在从0开始、每次上下左右移动一格并依次经过1至9的路径。	A path starts at 0 and visits 1 through 9 in order using orthogonal moves.	100	sequential-path	{}
rule-0005	step-by-step	拾级而上	Step by Step	从左下到右上和从右下到左上的两条对角线分别严格递增。	Both bottom-to-top diagonals are strictly increasing.	100	diagonal-increasing	{}
rule-0006	mode-of-sum	和众数	Mode of Sum	36个数字之和恰好为162。	The sum of all 36 digits is exactly 162.	100	sum-compare	"{""operator"":""eq"",""value"":162}"
rule-0007	triangle	三角形	Triangle	主对角线或副对角线不含0，且该对角线分隔的一侧全为0。	A main or anti-diagonal contains no zero and one side of it is entirely zero.	100	diagonal-triangle	{}
rule-0008	fourfold-symmetry	四方同契	Fourfold Symmetry	棋盘绕中心旋转90°后与原棋盘相同。	The grid is unchanged by a 90-degree rotation.	100	board-symmetry	"{""transforms"":[""rotate-90""]}"
rule-0009	central-symmetry	中心对称	Central Symmetry	棋盘绕中心旋转180°后与原棋盘相同。	The grid is unchanged by a 180-degree rotation.	100	board-symmetry	"{""transforms"":[""rotate-180""]}"
rule-0010	perfect-balance	完美平衡	Perfect Balance	棋盘关于所有对称轴及中心对称。	The grid has every reflectional and rotational symmetry of a square.	100	board-symmetry	"{""transforms"":[""rotate-90"",""rotate-180"",""reflect-horizontal"",""reflect-vertical"",""reflect-main-diagonal"",""reflect-anti-diagonal""]}"
rule-0011	huddle-together	抱团取暖		所有2×2小方块的数字之和均为偶数。	Every 2x2 subgrid has an even sum.	100	all-2x2-parity	"{""parity"":""even""}"
rule-0012	cross-match	叉影相合	Cross Match	主对角线与副对角线在同一行的数字相等。	The main and anti-diagonal entries in every row are equal.	100	diagonal-correspondence	{}
rule-0013	sudoku	数独	Sudoku	符合标准6×6数独规则，仅包含1–6。	The grid is a valid 6x6 Sudoku using digits 1 through 6.	100	sudoku-6x6	{}
rule-0014	lego-bricks	乐高积木		所有行的和为偶数，所有列的和为奇数。	Every row sum is even and every column sum is odd.	100	line-sum-parity	"{""rowParity"":""even"",""columnParity"":""odd""}"
rule-0015	palindromic	回文文回	PalindromicimordnilaP	棋盘同时关于水平轴和垂直轴对称。	The grid is symmetric across both the horizontal and vertical axes.	100	board-symmetry	"{""transforms"":[""reflect-horizontal"",""reflect-vertical""]}"
rule-0016	corner-vs-core	角心相映	Corner vs Core	四个角的数字与中心四格的数字对应相同。	The four corner digits correspond to the four central digits.	100	pattern-matcher	"{""pattern"":[""a    b"",""      "",""  ab  "",""  cd  "",""      "",""c    d""],""allowSameWith"":{""a"":[""b"",""c"",""d""],""b"":[""c"",""d""],""c"":[""d""]},""coefficient"":{""type"":""constant"",""value"":1}}"
rule-0017	six-seven	刘夫妻	Only 67	棋盘只包含6和7，且两者都出现。	The grid contains only 6 and 7, and both occur.	100	digit-constraints	"{""requiredDigits"":[6,7],""forbiddenDigits"":[0,1,2,3,4,5,8,9]}"
rule-0018	mirrored	镜像	Mirrored	棋盘关于水平轴或垂直轴对称。	The grid is symmetric across the horizontal or vertical axis.	100	board-symmetry	"{""transforms"":[""reflect-horizontal"",""reflect-vertical""],""mode"":""any""}"
rule-0019	sudoku-cheat	数独作弊	Cheat on Sudoku	每行、每列及主副对角线上的数字均不重复。	Every row, column, and main diagonal contains no repeated digit.	100	line-unique	{}
rule-0020	checkerboard-parity	黑白交错		行列下标之和为奇数的格子是奇数，为偶数的格子是偶数。	A cell is odd when its row-plus-column index is odd, and even otherwise.	100	checkerboard-parity	{}
rule-0021	quadrant-balance	四和院	Quadrant Balance	四个3×3象限的数字和相等。	The sums of the four 3x3 quadrants are equal.	100	equal-quadrant-sums	{}
rule-0022	missing	遗失	Missing	0–9中有且仅有一个数字没有出现。	Exactly one digit from 0 through 9 is absent.	100	missing-digit-count	"{""count"":1}"
rule-0023	strong-center	内强外弱		中心4×4的数字和大于外围20格的数字和。	The inner 4x4 sum is greater than the outer border sum.	100	center-border-sum	"{""operator"":""gt""}"
rule-0024	ocean-ball	海洋球	Ocean Ball	包含一个所有数字相同的3×3区域。	The grid contains a uniform 3x3 area.	100	uniform-block	"{""width"":3,""height"":3}"
rule-0025	bubble	肥皂泡	Bubble	包含一个所有数字相同的2×2区域。	The grid contains a uniform 2x2 area.	100	uniform-block	"{""width"":2,""height"":2}"
rule-0026	perfect-square	完全平方	Perfect Square	棋盘分成四个3×3区域，每个区域内仅含一种数字。	Each of the four 3x3 quadrants contains only one digit.	100	pattern-matcher	"{""pattern"":[""aaabbb"",""aaabbb"",""aaabbb"",""cccddd"",""cccddd"",""cccddd""],""allowSameWith"":{""a"":[""b"",""c"",""d""],""b"":[""c"",""d""],""c"":[""d""]},""coefficient"":{""type"":""constant"",""value"":1}}"
rule-0027	split	楚河汉界	Split	按行或列分半，前半只含0–4，后半只含5–9。	Split by rows or columns: the first half uses 0-4 and the second uses 5-9.	100	split-halves	{}
rule-0028	weak-core	外强中干	Weak Core	中心4×4的数字和小于外围20格的数字和。	The inner 4x4 sum is less than the outer border sum.	100	center-border-sum	"{""operator"":""lt""}"
rule-0029	top-heavy	头重脚轻	Upside Down	上两行的数字和大于下四行的数字和。	The top two rows sum to more than the bottom four rows.	100	top-bottom-sum	{}
rule-0030	gradient	渐变色		所有行共享同一单调方向，所有列共享同一单调方向，且相邻数字之差不超过2。	All rows share one monotonic direction, all columns share one monotonic direction, and adjacent values differ by at most 2.	100	monotonic-lines	"{""maxDifference"":2}"
rule-0031	apple-skin	苹果皮	Apple Skin	中心4×4全为0，外围20格全不为0。	The inner 4x4 is all zero and the outer border contains no zero.	100	center-border-digits	{}
rule-0032	seven-segment-symmetry	七段对称		以七段显示形式旋转180°后，棋盘内容与原来相同。	The seven-segment display grid is unchanged by a 180-degree rotation.	100	seven-segment-rotation	{}
rule-0033	island-survival	孤岛求生		上下左右相邻的数字均不相同。	No orthogonally adjacent cells contain the same digit.	100	no-adjacent-equal	{}
rule-0034	not-1-but-2	一不做二不休	Not 1 But 2	棋盘包含2但不包含1。	The grid contains 2 but not 1.	100	digit-constraints	"{""requiredDigits"":[2],""forbiddenDigits"":[1]}"
rule-0035	less-than-100	不足百	Less Than 100	所有数字之和小于100。	The sum of all digits is less than 100.	100	sum-compare	"{""operator"":""lt"",""value"":100}"
rule-0037	tone-harmony	音韵和谐	Harmony	所有数字的普通话读音声调相同。	Every digit has the same tone in Mandarin.	100	uniform-mandarin-tone	{}
